时间戳,时间,相对秒数,事件类型,参与者代号,角色,日志内容
1779769162368,2026-05-26T04:19:22.368000+00:00,0.0,事件创建,,,事件创建
1779769162868,2026-05-26T04:19:22.868000+00:00,0.5,AED点位更新,,,AED点位更新 (二楼服务台 AED)
1779769162988,2026-05-26T04:19:22.988000+00:00,0.62,AED点位更新,,,AED点位更新 (校门值班室 AED)
1779769163368,2026-05-26T04:19:23.368000+00:00,1.0,演示场景初始化完成,,,演示场景初始化完成
1779769166368,2026-05-26T04:19:26.368000+00:00,4.0,患者指定,P001,患者,总控指定患者 (P001)
1779769166618,2026-05-26T04:19:26.618000+00:00,4.25,分派开始,,,AI分派开始
1779769171148,2026-05-26T04:19:31.148000+00:00,8.78,角色已分派,R001-核心施救,核心施救,核心施救 已分派 (R001-核心施救) via 规则备用分派
1779769171258,2026-05-26T04:19:31.258000+00:00,8.89,角色已分派,R002-AED取送,AED取送,AED取送 已分派 (R002-AED取送) via 规则备用分派
1779769171368,2026-05-26T04:19:31.368000+00:00,9.0,角色已分派,R003-救护接驳,救护接驳,救护接驳 已分派 (R003-救护接驳) via 规则备用分派
1779769184368,2026-05-26T04:19:44.368000+00:00,22.0,CPR开始,R001-核心施救,核心施救,CPR开始，记录人 R001-核心施救
1779769208368,2026-05-26T04:20:08.368000+00:00,46.0,AED已取到,R002-AED取送,AED取送,AED已取到，记录人 R002-AED取送
1779769244368,2026-05-26T04:20:44.368000+00:00,82.0,AED已送达,R002-AED取送,AED取送,AED已送达，记录人 R002-AED取送
1779769252368,2026-05-26T04:20:52.368000+00:00,90.0,AED分析开始,R001-核心施救,核心施救,AED分析开始，记录人 R001-核心施救
1779769292368,2026-05-26T04:21:32.368000+00:00,130.0,救护车到场,R003-救护接驳,救护接驳,救护车到场（记录人 R003-救护接驳)
1779769314368,2026-05-26T04:21:54.368000+00:00,152.0,交接归档完成,R003-救护接驳,救护接驳,完成交接归档，记录人 R003-救护接驳
