时间戳,时间,相对秒数,事件类型,参与者代号,角色,日志内容
1779769171806,2026-05-26T04:19:31.806000+00:00,0.0,事件创建,,,事件创建
1779769172306,2026-05-26T04:19:32.306000+00:00,0.5,AED点位更新,,,AED点位更新 (二楼服务台 AED)
1779769172426,2026-05-26T04:19:32.426000+00:00,0.62,AED点位更新,,,AED点位更新 (校门值班室 AED)
1779769172806,2026-05-26T04:19:32.806000+00:00,1.0,演示场景初始化完成,,,演示场景初始化完成
1779769175806,2026-05-26T04:19:35.806000+00:00,4.0,患者指定,P001,患者,总控指定患者 (P001)
1779769176056,2026-05-26T04:19:36.056000+00:00,4.25,分派开始,,,AI分派开始
1779769179586,2026-05-26T04:19:39.586000+00:00,7.78,角色已分派,R002-核心施救,核心施救,核心施救 已分派 (R002-核心施救) via 规则备用分派
1779769179696,2026-05-26T04:19:39.696000+00:00,7.89,角色已分派,R002-AED取送,AED取送,AED取送 已分派 (R002-AED取送) via 规则备用分派
1779769179806,2026-05-26T04:19:39.806000+00:00,8.0,角色已分派,R003-救护接驳,救护接驳,救护接驳 已分派 (R003-救护接驳) via 规则备用分派
1779769188806,2026-05-26T04:19:48.806000+00:00,17.0,CPR开始,R002-核心施救,核心施救,CPR开始，记录人 R002-核心施救
1779769206806,2026-05-26T04:20:06.806000+00:00,35.0,AED已取到,R002-AED取送,AED取送,AED已取到，记录人 R002-AED取送
1779769238806,2026-05-26T04:20:38.806000+00:00,67.0,AED已送达,R002-AED取送,AED取送,AED已送达，记录人 R002-AED取送
1779769245806,2026-05-26T04:20:45.806000+00:00,74.0,AED分析开始,R002-核心施救,核心施救,AED分析开始，记录人 R002-核心施救
1779769291806,2026-05-26T04:21:31.806000+00:00,120.0,救护车到场,R003-救护接驳,救护接驳,救护车到场（记录人 R003-救护接驳)
1779769314806,2026-05-26T04:21:54.806000+00:00,143.0,交接归档完成,R003-救护接驳,救护接驳,完成交接归档，记录人 R003-救护接驳
